GeneID	22_NIBD_NI	23_NIBD_NI	25_NIBD_NI	27_NIBD_NI	30_NIBD_NI	31_NIBD_NI	32_NIBD_NI	36_NIBD_NI	39_NIBD_NI	42_NIBD_NI	43_NIBD_NI	48_NIBD_NI	49_NIBD_NI	50_NIBD_NI	20_CD_NI_B2	21_CD_NI_B2	29_CD_NI_B3	405_CD_NI_B1	407_CD_NI_B3	408_CD_NI_B1	413_CD_NI_B1	420_CD_NI_B2	422_CD_NI_B2	424_CD_NI_B3	429_CD_NI_B1	431_CD_NI_B1	433_CD_NI_B1	434_CD_NI_B3	440_CD_NI_B2	450_CD_NI_B3	51_CD_NI_B2	54_CD_NI_B1	62_CD_NI_B3	63_CD_NI_B1	64_CD_NI_B3	407_CD_IF_B3	408_CD_IF_B1	413_CD_IF_B1	431_CD_IF_B1	434_CD_IF_B3	440_CD_IF_B2
hsa-mir-222-3p	554.5	968.1	832.49	408.41	706.38	654.2	981.91	668.83	1107.58	766.31	954.68	576.04	641.53	1025.46	1003.35	1434.73	1660.04	612.01	724.61	187.46	188.15	632.2	363.88	867.99	853.63	590.49	161.36	78.81	596.62	684.62	552.93	539.26	677.15	821.54	774.33	396	145.81	835.64	987.38	636.84	639.45
hsa-mir-769-5p	109.83	137.35	69.92	60.24	81.67	119.56	165.23	89.31	99.91	84.17	128.45	90	96.99	151.51	85.31	121.34	126.87	147.84	209.76	45.47	26.19	94.73	57.33	100.8	138.05	84.64	48.12	18.67	74.1	45.45	76.32	111.13	107.02	139.08	88.52	64.39	26.54	121.07	132.78	49.42	129.33
hsa-mir-151a-3p	365.04	612.61	284.54	357.05	413.54	518.93	867.6	430.14	481.66	294.64	746.78	278.89	445.05	871.6	555.96	852.08	815.78	666.99	768.61	74.09	91.47	268.63	224.81	576.16	371.85	350.72	198.33	55.82	407.92	281.67	315.61	553.19	445.86	621.63	459.87	187.23	76.05	432.46	531.94	253.97	547.78
hsa-mir-92b-3p	1439.3	1711.5	802.04	889.98	709.56	1985.05	2371.14	1331.65	2324.91	1686.81	1987.32	3076.82	628.74	1192.9	2356.25	1905.98	1860.81	988.47	623.51	3055.59	411.87	1854.96	692.9	898.4	4170.5	1255.93	194.45	111.95	1628.9	471.31	1273.74	722.42	1306.68	826.09	791.38	287.36	153.76	3194.96	2330.85	732.62	1950.77
hsa-mir-22-3p	7106.27	9055.65	6611.19	4802.72	8443.32	9225.65	14921.8	6154.76	8707.67	6667.08	17784.01	6091.98	7591.03	16416.08	12807.14	20477.86	24332.32	11418.74	30437.26	2465	2458.45	9927.32	7146.1	13657.96	12401.32	5746.94	4451.3	2726.18	7174.51	13895.83	3710.97	13205	8554.93	16458.56	11586.41	7671.96	3585.2	13542.09	16352.27	12747.56	6568.83
hsa-let-7g-5p	4620.12	5440.01	1925.61	3533.18	2751.51	4069.68	6655.04	3537.76	6082.52	4250.17	6826.57	2830.93	4266.1	7288.37	4348.7	4760.23	5322.7	9576.82	7505.97	540.81	1192.25	4399.91	2711.39	5103.23	7077.24	4178.84	1594.85	545.46	3156.16	1909.15	3625.65	4550.79	3570.92	4053.67	3130.83	2332.72	775.97	4948.31	6589.44	2688.85	4009.81
hsa-mir-100-5p	296.06	2225.56	1466.18	680.98	322.17	202.13	380.12	260.16	351.6	509.13	592.16	1133.52	1314.77	2341.03	1024.84	2072.72	1450.83	574.65	1653.75	28.3	106.56	156.18	103.82	1176.5	586.93	251.35	220.66	23.47	230.66	92.71	704.82	518.88	937.83	1379.13	599.11	826.66	472.08	517.72	1591.59	412.04	346.04
hsa-mir-1307-3p	306.27	184.57	125.72	112.99	229.09	257.76	286.58	214.42	279.46	118.23	340.79	215.66	170.74	298.61	232.29	263.41	249.29	340.33	139.72	362.85	67.2	213.44	148.3	109.94	163.69	266.83	76.08	38.69	238.48	152.29	192.82	169.16	363.54	238.23	140.52	95.3	50.44	623.35	309.82	188.29	366.14
hsa-mir-21-5p	499.93	2578.72	440.68	411.23	399.46	808.46	1244.75	370.78	562.36	522.54	3738.6	279.99	793.37	2414.95	1540.26	2652.72	1429.33	2859.71	29873.54	264.48	167.36	950.53	223.19	2210.1	607.05	553.81	558.85	81.66	365	1398.27	337.02	3261.16	1629.48	2118.31	975.76	3785.01	1858.38	887.98	3115.02	949.78	599.05
hsa-mir-30d-5p	7239.09	4985.02	2739.08	2920.69	3452.5	6013.14	7714.83	3942.48	7595.66	3986.08	8612.89	4013.41	4742.83	7519.03	4288.75	6141.22	6606.79	6778.19	4468.98	1852.29	1495.06	5439.68	3315.38	5322.6	9674.06	5456.55	2719.52	1093.08	6376.73	4755.17	4326.75	5013.57	5894.82	5318.21	4414.99	2074.01	896.46	10126.42	7530.81	3740.63	5811.63
