GeneID	22_NIBD_NI	23_NIBD_NI	25_NIBD_NI	27_NIBD_NI	30_NIBD_NI	31_NIBD_NI	32_NIBD_NI	36_NIBD_NI	39_NIBD_NI	42_NIBD_NI	43_NIBD_NI	48_NIBD_NI	49_NIBD_NI	50_NIBD_NI	20_CD_NI_B2	21_CD_NI_B2	29_CD_NI_B3	405_CD_NI_B1	407_CD_NI_B3	408_CD_NI_B1	413_CD_NI_B1	420_CD_NI_B2	422_CD_NI_B2	424_CD_NI_B3	429_CD_NI_B1	431_CD_NI_B1	433_CD_NI_B1	434_CD_NI_B3	440_CD_NI_B2	450_CD_NI_B3	51_CD_NI_B2	54_CD_NI_B1	62_CD_NI_B3	63_CD_NI_B1	64_CD_NI_B3	407_CD_IF_B3	408_CD_IF_B1	413_CD_IF_B1	431_CD_IF_B1	434_CD_IF_B3	440_CD_IF_B2
hsa-mir-10a-5p-1	39.71	47.02	12.18	21.83	26.15	28.06	61.26	18.16	22.94	24.53	55.71	16.85	57.07	156.95	25.12	45.52	21.7	117.72	215.15	6.96	12.31	23	12.46	34.7	62.02	47.65	33.43	2.47	29.64	40.6	18.53	70.48	73.57	150.15	37.3	27.81	9.75	52.51	50.61	23.08	28.54
hsa-mir-215+1	14.28	117.33	50.91	35.98	29.35	72.14	103.67	32.7	45.88	38.64	171.59	16.84	41.99	178.01	197.5	516.33	334.54	59.48	52.34	6.03	9	12.32	40.3	181.17	16.7	25.18	15.58	13.08	17.56	46.52	12.47	74.51	80.56	91.55	63.09	3.88	0	23.1	21.14	19.05	23.25
hsa-mir-10a-5p+1	2390.86	2518.03	679.23	1488.08	1302.88	1733.09	3424.42	1337.63	1423.54	1566.68	2820.14	1057.16	3002.87	6584.54	1488.64	2167.34	1397.34	6060.51	9663.64	309.72	725.41	1617.32	791.04	1862.92	5189.45	2855.8	1855.7	228.21	2041.1	1982.71	1297.09	2950.03	2844.9	5800.97	2089.82	1301.12	635.03	2469.22	2589.42	1326.73	1714.61
hsa-mir-15b-5p	346.37	462.61	222.93	151.64	214.17	242.96	327.5	282.05	314.75	277.26	460.83	281.36	259.15	434.33	517.12	491.13	477.48	418.08	174.61	74.86	93.51	226.65	180.2	425.9	156.58	285.68	60.28	27.62	455.38	255.93	334.94	247.31	396.82	352.94	222.86	215.76	83.16	444.06	578.9	162.95	530.74
hsa-mir-194-2-5p	609.41	1162.49	746.09	456.28	602.21	1220.23	1904.71	724.57	1015.91	775.66	2817.83	382.19	894.85	2756.03	2889.91	5547.64	4381.82	1965.08	417.51	86.77	201.16	360.91	891.47	2265.28	165.63	500.3	243.91	147.23	571.51	2857.28	467.09	1140.21	1153.85	1671.56	1179.31	99.18	1.78	682.55	388.64	590.32	598.88
hsa-mir-326	96.63	50.97	62.92	39.26	55.42	62.91	70.68	65.9	87.44	65.79	86.19	75.98	45.31	72.96	72.21	80.21	98.62	146.37	133.54	40.37	30.28	72.2	84.67	87.12	81.7	79.37	30.55	38.62	35.13	51.3	66.7	64.69	92.37	53.55	65.85	38.57	15	115.85	155.7	134.42	80.79
hsa-let-7e-5p	757.5	767.24	643.25	728.08	1071.01	1006.18	1596.42	903.97	1733.86	935.15	902.57	1649.49	762.2	997.56	731.18	828.2	1111.6	1026.27	644.17	521.12	185.46	802.05	509.14	731.52	5850.41	697.48	179.71	82.36	765.59	332.79	753.61	668.17	519.8	380.89	818.42	224.45	96.94	1378.29	715.43	782.86	893.9
hsa-mir-30e-5p	565.53	1169.91	287.54	347.29	388.22	619.63	1048.67	356.87	505.73	431.95	1338.78	324.38	595.24	1315.77	524.86	793.08	739.58	659.1	2185.81	145.23	94.73	398.67	204.09	709.21	743.16	454.83	310.33	72.99	404.38	514.85	294.32	976.54	657.99	1036.93	429.56	341.49	147.31	471.09	838.98	314.28	469.05
hsa-let-7i-5p	3294.59	3247.8	1914.23	1911.43	2312.37	2381.01	2688.99	2341.63	3480.88	2596.51	2945.01	2034.91	2075.86	2944.9	2249.88	2278.95	3081.27	8423.2	13626.28	441.26	743.3	2964.3	1404.54	2915.26	4418.78	2374.6	1558.97	450.03	1739.36	1675.71	2679.85	3120.21	1886.07	2659.16	2116.72	4088.32	3225.63	3220.07	6246.77	3218.07	3710.39
hsa-mir-192-5p+1	2785.83	7741.38	4584.48	4009.47	3531.62	6935.73	11827.33	3774.13	5235.26	3812.6	16728.07	1550.56	5014.48	16266.95	17537.18	37274.12	22874.18	7851.41	6775.17	470.5	1329.07	1927.52	4613.59	15437.19	1970.23	3090.84	2305.55	1250.35	3401.6	6029.64	1784.48	8009.95	7445.73	10777.2	6434.14	693.27	13.88	3714.34	2448.69	2753.38	2651.08
hsa-mir-197-3p	708.21	546.05	623.83	542.99	505.12	795.13	730.9	587.82	795.11	754	674.5	652.01	352.87	527.7	950.4	1011.28	1213.01	632.41	362.84	327.21	278.97	576.25	812.88	815.9	677.86	769.94	144.18	242.42	504.13	331.86	571.42	518.88	774.63	358	487.37	201.32	129.68	1224.46	1144.22	717.58	570.33
hsa-mir-10a-5p	5334.12	6959.01	1527.69	3692.06	3147.31	3932.17	8675.44	3133	3194.7	3773.68	7836.86	2779.75	7702.71	17887.78	3626.72	6129.72	3311.13	14695.38	25201.32	710.15	1585.46	3276.99	1701.67	4864.87	11885.73	6071.12	4627.9	540.43	4284.73	5092.73	2795.04	8882.25	8061.05	15514.12	5355.31	3065.95	1541.85	5420.17	6510.66	2865.14	3965.65
hsa-mir-181a-1-3p	13.47	69.01	19.57	8.39	9.9	12.75	24.02	11.99	12.14	14.37	30.75	10.18	13.28	34.13	23.13	26.67	29.52	27.18	171.61	6.5	5.37	21.49	8.92	43.85	9.39	13.83	11.33	4.12	12.62	22.72	9.58	25.68	15.76	19.9	18.55	38.79	13.57	19.21	47.71	24.23	7.97
hsa-mir-101-1-3p-1	5.81	22.29	4.82	7.82	7.32	9.88	19.48	7.17	11.64	10.76	35.3	7.5	9.29	20.28	12.99	18.54	13.09	13.1	172.49	0	1.8	5.31	3.93	17.52	20.57	4.89	3.03	0.94	0	4.39	6.18	27.13	18.19	15.8	9.27	8.78	2.28	7.17	20.69	5.58	8.62
hsa-mir-101-2-3p-1	5.81	22.47	4.92	7.87	7.32	10.1	19.63	7.17	11.64	10.97	35.39	7.5	9.29	20.35	13.33	18.64	13.28	13.28	173.04	0	1.8	5.31	3.93	17.59	20.57	4.89	3.14	0.94	0	4.39	6.18	27.13	18.19	15.86	9.33	8.78	2.31	7.17	20.69	5.58	8.62
hsa-mir-155-5p	524.08	2060.91	395.61	569.1	383.29	448.52	829.13	455.22	533.48	1200.83	514.83	337.64	334.22	757.26	391.96	431.25	552.53	988.99	2845.69	110.43	130.6	1478.89	189.72	680.99	217.66	545.09	229.82	38.09	203.08	467.19	703.18	632.24	420.38	520.41	390.74	2581.4	727.57	319.94	2255.19	549.28	303.7
hsa-mir-142-3p	0	29.49	2.14	3.58	1.29	4.89	5.25	3.2	2.99	14.23	16.01	1.09	1.92	9.19	8.75	7.87	5.46	3.83	119.21	0	0	2.49	1.15	12.95	0	4.21	0.6	0	0	9.7	2.56	7.72	11.66	7.6	4.2	4.41	0	0	16.52	3.58	0
hsa-mir-660-5p	12.77	24.26	8.35	7.66	9.36	12.12	24.02	8.11	12.14	8.13	44.38	7.27	15.59	39.13	11.94	18.85	18.97	25.22	159.35	0	2.64	8.25	5.08	19.39	8.35	11.27	12.25	2.02	11.8	12.42	7.24	41.9	21.02	28.62	11.53	16.71	5.47	9.72	24.78	10.33	10.75
hsa-mir-345-5p	94.27	82.37	60.42	55.73	73.4	79.01	122.34	87.14	110.05	73.75	192.39	78.61	77.05	140.26	121.19	85.49	129.83	160.09	112.04	96.36	41.97	117.95	86.41	127.62	81.4	130.41	36.01	15.45	75.19	111.54	90.75	105.21	148.77	163.9	75.36	45.57	26.16	319.09	260.65	102.26	105.49
hsa-mir-99b-5p	1798.16	4372.09	3499.21	1647.23	825.65	575.09	1301.31	629.27	755.58	869.65	1106.9	6046.78	3490.04	5554.21	4160.02	5635.66	4632.41	1564.53	2374.28	366.1	476.07	673.87	643.17	3533.51	2008.4	1182.64	660.4	180.48	1522.01	680.58	3307.91	1336.12	2665.41	3702.27	1888.44	2538.04	1242.68	3492.37	4024.25	1708.53	2427.16
hsa-mir-192-5p	4405.55	12038.88	5036.41	5046.45	5174.07	9296.56	15639.17	4316.13	6782.82	4244.57	31681.19	2141.43	7958.71	23565.51	19173.27	49211.81	25022.48	13794.06	15241.63	873.25	1963.85	3029.19	5877.84	22674.12	2968.62	4354.66	3552	2009.09	4611.44	8351.73	2510.77	13064.42	17191.49	15475.66	7960.04	1108.42	26.67	6468.97	4927.21	3450.08	5185.99
hsa-mir-25-3p	510.15	1217.21	695	515.21	665.11	656.55	1394.47	613.63	664.31	761.54	1190.6	415.59	682.71	1095.81	1099.12	1324.67	1215.93	1077.39	2067.84	166.11	176.52	602.2	383.46	904.53	432.33	511.27	324.32	113.07	552.98	483.34	510.94	881.54	721.4	1106.46	692.5	669.34	330.93	563.79	1089.25	823.44	975.2
hsa-mir-133a-1	72.91	67.62	68.63	107.61	120.89	112.1	199.11	116.03	331.49	222.31	164.54	651.7	117.56	159.36	57.6	65.34	117.2	93.6	19.09	26.91	16.26	76.76	51.99	90.28	1607.22	71.38	26.35	9.86	59.64	49.89	78.09	69.33	75.68	119.32	127.22	7.22	5.28	190.97	90.72	18.97	122.66
hsa-mir-133a-2	72.91	67.62	68.63	107.61	120.89	112.1	199.11	116.03	331.49	222.31	164.54	651.7	117.56	159.36	57.6	65.34	117.2	93.6	19.09	26.91	16.26	76.76	51.99	90.28	1607.22	71.38	26.35	9.86	59.64	49.89	78.09	69.33	75.68	119.32	127.22	7.22	5.28	190.97	90.72	18.97	122.66
hsa-mir-490-3p	0	1.31	0.9	5.76	6.13	1.38	3.32	2.63	24.6	126.31	3.37	156.19	4.34	4.41	1.24	1.79	1.48	0	2.12	0	0.49	0	1.15	0.75	286.53	0	2.82	0	4.94	1.11	2.77	0	1.31	1.26	25.66	0.76	0.4	34.28	2.84	0	7.41
hsa-mir-324-5p	95.43	32.68	32.62	13.92	34.76	34.33	30.74	28.78	25.6	27.89	39.13	31.26	35.71	49.94	35.73	42.79	42.01	52.31	33.36	29.23	12.22	38	29.05	45.09	22.06	33.82	15.55	11.25	40.89	67.87	32.3	25.1	37.75	43.76	31.94	59.28	25.87	57.38	70.89	48.57	124.89
hsa-mir-145-3p+2	8.36	58.07	16.51	16.64	24.1	17.07	30.47	22.61	36.41	44.65	118.13	51.61	34.66	63.77	50.49	86.89	56.83	41.88	154.7	0	2.06	12.84	4.51	30.61	93.03	9.47	7.1	0.9	9.06	13.84	10.01	26.46	39.85	35.3	25.8	8.89	4.58	25.28	47.57	10.75	19.27
hsa-mir-328	110.88	74.57	76.07	68.42	91.52	124.08	74.46	89.08	150.99	114.94	56.56	173.91	40.31	57.76	90.53	105.22	121.77	48.93	45.26	65.19	22.85	78.49	88.24	73.1	469.9	77.81	27.26	26.84	58.18	42.92	88.06	40.31	56.07	32.49	73.35	23.23	19.45	99.92	100.79	115.64	133.23
hsa-mir-133a-1+1	44.43	36.45	40.62	60.88	68.45	63.48	102.13	64.47	186.83	134.66	81.58	369.38	61.93	84.65	34.11	34.95	67.61	53.71	11.63	20.65	10.23	51.25	32.58	53.06	884.39	46.13	16.09	6.59	33.98	32.6	46.97	36.74	48.21	70.98	67.27	5.36	3.53	125.45	56.28	13.84	76.9
hsa-mir-133a-2+1	44.43	36.45	40.62	60.88	68.45	63.48	102.13	64.47	186.83	134.66	81.58	369.38	61.93	84.65	34.11	34.95	67.61	53.71	11.63	20.65	10.23	51.25	32.58	53.06	884.39	46.13	16.09	6.59	33.98	32.6	46.97	36.74	48.21	70.98	67.27	5.36	3.53	125.45	56.28	13.84	76.9
hsa-mir-361-3p	151.51	419.04	143.03	129.13	132.25	164.09	139.74	136.13	156.16	296.46	231.48	142.11	127.3	204.8	216.87	188.2	283.72	225.99	475	80.27	67.86	302.26	128.13	217.3	95.71	179.34	45.9	30.29	93.86	77.46	224.48	141.94	170.21	191.03	152.69	196.83	73.75	190.85	516.76	175.59	114.7
hsa-mir-423-3p-1	657.82	307.59	245.88	251.94	299.93	616.28	464.17	348.95	682.15	363.51	478.82	477.74	199.55	367.93	430.1	526.78	545.02	348.97	178.81	554.48	182.17	571.32	487.27	333.49	1108.26	555.92	111.14	133.62	406.44	171.18	274.64	211.78	428.77	279.71	238.54	140.27	77.01	1104.72	595.83	362.67	436.64
hsa-mir-224-5p	54.33	119.07	131.94	51.24	63.38	48.14	100.5	43.85	86.45	49.13	116.28	62.15	144.09	224.62	343.63	542.55	390.6	77.8	78.98	13.92	17.33	38	44.29	113.19	20.27	46	14.96	10.42	36.5	80.09	85.12	64.31	80.57	99.35	62.21	40.49	15.83	88.49	77.67	50.37	56.51
hsa-mir-191-5p+1	417.38	460.14	220.51	255.2	286.44	333.38	638.93	288.88	394.66	209.66	648.01	268.31	278.75	572.06	401.37	593.82	593.06	747.98	537.17	104.86	98.19	330.19	209.95	339.24	365.69	397.17	155.77	47.54	622.28	271.11	275.59	343.44	320.71	443.64	234.39	158.9	88.59	688.26	557.39	245.24	565.79
hsa-mir-183-5p	25.08	40.61	41.05	23.9	29.91	26.52	49.36	16.9	24.6	11.07	62.17	25.99	37.66	109.39	60.81	91.02	74.68	61.31	46.91	9.28	7.12	20.83	10.74	43.24	8.05	21.2	12.68	3.15	66.41	51.76	24.57	45.78	68.96	113.2	21.92	12.42	3.17	72.21	39.82	27.71	66.89
hsa-mir-186-5p	1264.8	1911.88	641.32	847.32	1023.57	1402.51	2138.56	898.82	1103.84	804.75	2583.21	619.44	1690.59	2778.85	1168.38	1711.4	1548.18	2069.76	3725.56	130.38	198.54	1082.84	421.33	1448.19	1576.07	1236.02	764.33	161.21	1236.32	1296.42	645.93	2002.84	1543.39	2444.74	1021.71	851.56	333.05	1323.04	2026.18	725.9	1048.57
hsa-mir-143-3p	5964.77	12080.25	6320.61	7469.58	11164.71	8833.75	23107.64	8061.73	14903.1	15618.04	32091	25319.78	14648.28	23109.4	8919.92	14769.39	15481.28	30851.59	67678.45	1501.04	1944.68	8030.3	3336.86	14498.07	114617.85	6226.54	3484.66	551.86	5334.71	9691.58	4665.59	15131.3	10742.33	12347.65	19828.92	4399.11	2201.28	19112.38	18820.81	3522.77	10822.79
hsa-mir-342-3p	192.96	819.21	353.09	307.05	156.46	138.79	275.38	108.38	159.43	372.29	353.05	272.13	343.23	511.53	597.4	559.89	567.34	452.79	1005.49	26.45	93.49	274.5	163.45	735.83	97.2	156.19	104.96	54.06	33.21	115.03	356.17	537.81	403.47	466.74	370.33	603.24	162.72	135.42	893.1	199.78	78.93
hsa-mir-148a-3p	414.36	2614.08	609.98	577.22	560.3	827.33	1427.7	569.94	977.93	438.28	3984.95	431.13	1272.03	2268.87	1172.53	1990.47	1507.14	1837.22	9197.02	166.11	121.47	825.01	243.74	2140.07	299.8	538.25	700.55	71.94	392.58	1000.47	680.5	2262.71	1775.42	2099.77	783.28	1534.55	622.27	569.74	2225.07	655.7	572.93
hsa-mir-142-5p	4.41	56.96	11.59	8.68	3.98	14.67	12.67	9.02	3.66	24.67	21.25	6.45	5.03	13.5	45.68	27.61	19.2	4.23	117.24	6.5	1.12	6.42	0	18.1	0	6.46	2.44	1.65	3.29	6.67	9.16	20.08	25.14	15.6	15.67	12.05	3.33	0	34.9	12.8	11.49
hsa-mir-425-3p-1	41.1	32.32	14.67	10.66	21.84	33.26	34.22	21.13	32.92	19.27	57.3	18.35	24.65	45.75	30.51	27.33	32.67	110.68	27.74	6.96	4.3	30.53	11.89	21.55	13.12	18.79	9.05	3.52	20.58	57.97	22.08	28.97	28.99	33.98	18.53	12.42	5.6	35.98	28.73	16.96	31.5
hsa-mir-29a-3p	676.17	2007.98	797.54	1068.87	687.3	940.89	977.94	844.18	865.84	1879	1905.98	755.11	1117.85	1301.39	1086.11	966.45	1339.95	1589.46	3246.86	268.42	247.27	956.29	375.21	1465.41	600.79	848.61	599.69	145.19	844.29	947.26	1074.11	1399.25	1200.75	1797.52	1194.55	1287.69	681.22	646.04	2990.79	1155.12	829.19
hsa-mir-574-3p	755.43	498.93	388.92	244.35	462.47	700.75	568.5	391.44	766.61	411.57	588.71	511.74	284.17	416.77	674.25	871.15	1008	752.79	195.05	107.88	102.04	294.13	525.25	414.72	592.37	535.81	176.06	384.09	723.41	798.72	401.77	242.51	515.17	243.37	351.68	247.09	150.96	687.01	685.22	975.04	1011.99
hsa-mir-101-1-3p	8.24	42.4	7.61	15.64	12.43	19.02	27.38	13.42	15.88	21.12	52.59	12.63	13.22	24.25	23.1	37.9	22.3	19.74	179.03	6.5	3.18	7.6	6.38	23.16	36.52	9.32	6.64	1.65	5.21	6.92	8.71	32.8	25.88	22.47	13.93	12.67	4.13	9	32.9	5.85	15.75
hsa-mir-101-2-3p	8.71	46.27	8.35	16.68	13.4	19.98	29.24	14.33	17.21	23.01	55.49	13.36	14.22	26.97	25.17	40.82	23.97	21.25	193.22	7.42	3.45	7.86	6.76	24.92	38.02	9.62	7.13	1.72	6.04	7.42	9.56	35.5	27.19	23.86	14.85	13.3	4.33	9.72	34.62	6.27	16.31
hsa-mir-363-3p	12.54	125.33	24.57	17.75	11.94	14.03	25.95	14.73	39.57	47.38	26.45	81.37	19.85	32.95	46.26	33.64	45.2	23.44	75.71	0	7.3	17.69	8.82	54.36	190.23	20.6	9.05	5.1	7.68	12.93	17.11	20.08	24.87	26.94	11.42	32.73	10.87	46.19	77.42	89.56	17.23
hsa-mir-148a-5p	52.94	90.92	45.45	44.07	46.05	45.17	96.1	34.26	46.71	21.21	122.46	31.54	71.54	109.15	51.81	57.49	84.39	88.67	365.48	13.46	18.4	82.42	25.5	85.61	19.38	41.64	38.85	11.62	31.01	38.88	37.2	97.84	68.94	103.12	51.68	95.3	32.1	99.92	115.52	38.67	64.67
hsa-mir-1301	21.5	62.62	48.08	13.7	14.8	21.07	15.14	11.82	19.78	22.27	23.57	82	24.57	42.66	100.79	88.87	58.99	22.01	14.1	24.13	6.38	20.31	18.33	27.4	14.91	24.5	2.93	3.97	20.03	6.67	42.67	14.87	34.8	23.14	15.86	7.17	3.4	33.31	48.82	26.55	31.5
hsa-mir-484	430.27	687.65	619.64	298.71	345.95	589.71	740.58	413.88	586.17	544.36	737.18	670.88	412.93	810.62	1322.85	1393.39	1531.98	315.38	357.15	365.63	116.37	355.8	168.05	676.5	297.86	398.97	104.15	114.2	370.76	368.72	532.49	408.08	820.65	649.72	478.2	204.88	119.31	611.2	687.6	420.84	512.34
hsa-mir-143-5p	40.87	44.43	56.35	28.07	59.29	55.05	59.87	45.57	109.06	110.94	81.55	307.74	55.58	84.07	65.87	65.03	111.51	73.52	23.5	37.12	10.66	32.76	30.58	60.49	607.2	44.5	16.2	4.95	34.58	60.09	36.56	18.73	54.91	49.38	62.96	7	4.57	136.63	59.67	28.24	72.82
hsa-mir-331-3p	378.49	329.51	239.34	159.76	228.7	309.36	245.64	183.43	284.94	352.56	322.76	302.15	144.79	220.65	255.46	320.94	348.33	456.8	267.96	234.78	69.94	247.25	185.5	240.7	406.99	305.47	189.93	113.07	308.19	230.66	242.95	183.26	344.23	238.4	200.84	169.52	54.81	519.78	504.37	483.86	498.16
hsa-mir-10b-5p	4430.16	7685.44	678.29	3171.97	3578.73	2850.36	6717.69	2384.06	1379.18	2361.96	4091.4	943.11	7083.02	6984.41	1087.55	3124.72	1775.19	6531.75	29076.5	426.18	1032.87	2887.23	755.28	2551.62	4623.1	3306.12	3448.88	412.06	4909.06	2713.68	1041.54	7434.15	3595.04	8672.31	1664.04	3380.01	1771.39	1975.08	5426.67	2693.6	3600.08
hsa-let-7i-3p	23.68	57.71	28.5	29.02	28.08	24.44	22.09	25.24	24.27	36.3	41.1	23.17	37.54	44.2	33.99	26.2	43.4	76.46	123.59	6.96	11.19	33.54	11.31	43.31	4.47	26.01	25.69	5.32	22.78	21.61	38.27	37.85	35.73	44.95	36.25	104.44	64.11	25.77	118.11	67.75	65.04
hsa-mir-132-3p	140.25	106.12	218.72	102.74	164.53	150.38	135.49	146.53	145.19	113.05	288.46	155.1	142.6	240.43	175.01	182.56	335.44	307.44	144.97	30.16	62.15	194.84	74.87	223.54	120.16	98.47	69.52	16.72	98.52	204.81	131.19	171.09	130.67	276.76	185.16	245.65	105.61	187.2	315.99	129.71	189.55
hsa-mir-191-5p	11070.52	11077.57	5478.54	4727.34	7272.69	8285.71	13556.73	6110.45	9088.11	4942.66	15545.92	6186.47	7847.25	14448.86	10656.06	14376.46	14055.23	20814.85	13779.14	2261.07	2676.45	9116.79	4726.68	8620.17	6924.44	11046.57	4917.48	1139.94	20312.19	8480.48	7267.46	8526.45	8622.77	12358.03	5639.32	4281.84	1834.61	21337.63	15674.8	6280.4	17227.08
hsa-mir-423-3p	4862.05	2227.07	1890.79	2055.63	2156.04	4724.03	3282.02	2641.97	5709.83	2862.82	3430.91	3851.99	1459.87	2459.91	3373.49	4198.89	4414.89	2215.81	1058.13	5130.91	1491.13	4785.92	4702.06	2719.39	8498.42	4310.01	770.3	1074.03	2369.46	1478.61	2207.24	1541.11	2830.05	1879.38	1808.47	958.67	576.47	8762.35	4557.1	3114.02	2648.4
hsa-mir-139-5p	52.71	53.07	57.49	55	70.8	57.6	75.47	60.64	86.95	68.93	79.67	114.57	47.29	73.11	95.34	143.67	139.36	156.08	43.92	14.85	17.6	30	51.86	88.11	96.6	29.77	23.9	18.52	55.16	95.54	56.87	57.35	55.17	50.04	57.47	23.78	15.07	119.37	70.52	54.79	105.8
hsa-mir-221-3p	872.61	1170.95	765.45	494.25	745.06	801.33	1209.3	659.44	990.83	874.23	1124.95	549.25	709.53	1218.16	1060.75	1228.18	1676.08	1446.16	2190.84	200.45	279.56	787.49	635.02	968	624.44	724.59	327.25	142.91	601.28	731.63	668.74	679.45	702.55	1016.6	961.57	936.73	341.32	1013.92	1599.71	1218.15	792.38
hsa-mir-126-3p+1	38.31	124.02	69.33	98.75	75.65	51.65	151.55	82	49.21	42.05	133.88	23.62	109.74	169.16	57.53	82.56	130.38	98.03	386.16	7.89	11.73	57.91	13.8	109.8	33.99	36.83	34.03	5.1	31.56	179.36	40.75	130.73	61.66	130.55	80.57	115.16	52.3	65.4	122.3	64.48	40.21
hsa-let-7b-3p	53.87	53.39	46.75	41.22	57.68	51.7	59.56	45.91	57.85	35.43	57.77	53.79	38.5	47.48	47.42	53.67	54.41	78.55	19.72	16.7	20.37	54.38	50.43	50.43	88.55	65.24	50.94	38.09	82.6	65.34	32.94	46.93	64.41	42.04	51.62	25.89	13.93	122.04	101.47	96.52	66.24
hsa-mir-1307-3p+1	79.64	57.06	36.53	35.84	71.02	48.46	94.16	66.18	72.65	33.57	91.8	75.32	45.29	95.58	79.12	83.83	84.39	102.04	47.37	106.72	20.77	62.11	36.81	28.13	57.84	81.78	28.02	10.72	93.58	50.7	59.49	33.31	116.83	84.54	46.08	27.81	19.14	223.42	122.55	73.65	154.72
hsa-mir-193a-5p	130.73	33.23	46.25	83.79	109.22	133.37	76.01	95.25	160.92	100.15	85.01	67.87	48.52	83.49	70.3	77.75	73.94	40.64	31.34	241.74	17.95	89.23	73.43	48.46	657.14	104.48	18.1	8.85	114.71	25.75	95.84	55.81	100.36	32.19	58.71	13.56	12.17	98.46	62.38	41.3	118.03
hsa-let-7f-2-5p	994.43	2651.47	766.02	1253.51	968.79	1250.55	2932.06	1022.77	2008.05	1254.82	3231.34	958.7	1703.54	3399.18	1655.39	2260.55	2076.09	2259.17	7332.45	140.65	234.13	1188.91	508.56	2252.92	3901.45	1061.84	394.73	128.56	727.15	731.9	645.46	2955.08	1352	1772.08	1022.72	778.72	230.08	1282.18	1878.17	963.83	725.09
hsa-mir-27a-3p	330.07	657.02	492.89	326.49	646.26	586.53	797.34	403.25	640.7	551.54	932.56	474.1	581.37	954.4	602.88	725.62	569.03	833.86	1802.63	174.93	109.93	418.34	282.53	684.96	370.96	357.5	320.29	83.5	387.64	714.37	612.52	714.52	694.87	993.52	661.78	701.97	368.36	862.19	1550.03	973.35	410.11
hsa-let-7f-1-5p	954.72	2557.84	742.25	1200.02	936.07	1197.99	2800.01	986.81	1926.74	1204.04	3080.28	934.37	1636.75	3269.23	1585.11	2152.26	1994.37	2180.39	7114.52	138.12	226.52	1135.67	479.49	2138.98	3734.45	1013.88	378.95	121.55	701.07	702.77	633.76	2839.04	1293.81	1707.76	982.08	757.48	221.63	1248.01	1816.71	933.25	708.26
hsa-mir-10b-5p+1	945.41	1331.5	152.03	616.08	710.57	568.45	1249.54	524.03	305.39	470.72	704.09	207.84	1387.53	1228.82	213.18	545.76	367.65	1244.21	4973.55	74.47	224.09	694.37	177.3	486.26	947.85	735.11	622.39	79.52	1204.08	491.07	244.43	1071.08	570.57	1446.1	316.76	652.72	305.55	411.11	999.54	554.6	760.54
hsa-mir-500a-3p	302.44	175.14	117.07	64.88	95.86	115.31	180.02	97.3	182.78	88.59	273.22	143.65	172.37	317.62	192.02	271.61	209.22	268.77	150.45	77.95	43.05	110.85	99.75	171.99	86.47	198.43	101.88	40.49	283.9	130.73	195.83	146.96	292.91	229.3	90.62	95.33	41	374.16	330.35	143.46	316.85
hsa-mir-106b-3p-2	86.84	128.5	57.64	55.14	54.77	113.98	114.75	68.52	113.88	92.02	113.12	43.16	52.43	91.42	129	103.76	102.95	147.39	229.76	47.33	33.74	100.63	74.97	109.4	79.91	90.05	32.84	28.64	37.05	36.56	100.74	83.13	138.02	61.41	61.02	117.81	44.67	166.05	170.14	142.14	66.89
hsa-mir-98	89.78	254.01	106.3	116.52	134.97	124.64	316.56	124.91	178.76	115.15	345.56	102.8	247.55	454.5	178.82	244.11	229.91	255.6	876.3	7.89	23.97	118.01	48.39	254.85	335.38	99.18	53.75	12.72	68.42	77.68	79.59	372.48	174.53	237.86	137.85	154.93	61.31	154.74	193.98	129.58	115.82
hsa-mir-744-5p	187.62	115.69	90.69	75.29	126.01	200.51	203.2	129.97	292.78	158.09	181.11	236.19	82.11	150.38	133.6	170.39	169.92	146.99	72.76	280.26	63.89	249.08	244.17	142.01	518.8	192.12	29.13	31.34	187.16	70.05	125.36	72.92	158.54	89.59	98.35	26.46	11.37	454.87	212.73	173.75	233.56
hsa-mir-106b-3p	150.47	144.55	108.07	83.7	120.09	201.28	180.95	133.28	231.58	138.84	168.71	103.76	88.94	135.33	197.06	227.45	195.39	247.47	238.79	101.15	56.73	160.77	188.38	166.47	166.07	134.09	52.35	44.16	87.27	78.17	159.06	95.98	208.17	117.92	116.41	105.45	54.97	306.81	223.89	236.34	192.52
hsa-mir-23a-5p	19.97	36.91	2.64	16.5	7.65	87.04	31.67	4.57	19.95	20.25	22.66	54.15	7.73	10.63	5.93	4.81	34.52	50.97	13.82	152.66	3.76	41.14	12.46	3.52	7.45	7.52	0	2.92	100.99	5.86	17.32	2.9	6.39	1.59	4.9	1.32	0.77	34.77	4.44	34.56	81.9
hsa-mir-423-5p	1140.34	760.1	717.4	530.07	889.86	1243.87	1094.29	694.24	1729.21	928.48	812.1	1380.37	329.66	553.18	1156.44	1173.08	1098.85	832.33	952.56	2598.63	378.13	1130.23	1633.11	554.7	3227.97	1030.08	115.91	191.84	919.9	236.62	746.04	360.7	689.71	289.53	506.64	192.2	106.28	1788.73	787.93	893.97	982.24
hsa-mir-126-3p	101.01	324.77	182.19	225.03	183.9	128.54	336.87	171.88	135.82	84.94	330.16	55.33	263.5	405.4	141.6	214.5	306.94	295.68	1207.46	19.02	32.1	184.35	38.44	262.24	89.15	78.32	81.83	13.72	57.91	448.1	89.81	375.79	155.36	302.61	198.57	478.81	207.29	171.88	260.51	152.89	88.2
